,life_expectancy,income,co2_emissions(tonnes/person),total_health_spending,gov_health_spending,kcal_day,sugar_g_day,Schooling,Alcohol, BMI ,children/woman
2,52.4,365.0,0.0487,14.8,0.833,1830.0,9.46,6.2,0.01,13.0,7.27
3,53.0,377.0,0.0518,18.3,1.25,1890.0,12.2,6.5,0.01,13.4,7.14
4,53.5,364.0,0.0394,20.7,1.61,1970.0,15.5,6.8,0.02,13.8,6.99
5,53.9,389.0,0.0529,21.9,2.52,1950.0,18.6,7.9,0.02,14.2,6.83
6,54.1,398.0,0.0637,23.8,2.81,1970.0,19.7,8.1,0.03,14.7,6.65
7,54.6,440.0,0.0854,28.8,3.5,2050.0,20.8,8.4,0.02,15.2,6.46
8,55.2,445.0,0.154,31.8,3.75,2040.0,23.4,8.7,0.03,15.7,6.25
9,55.7,525.0,0.242,33.7,3.91,2080.0,23.3,8.9,0.01,16.2,6.04
10,56.2,553.0,0.294,37.7,4.39,2100.0,24.3,9.2,0.01,16.7,5.82
11,74.4,2340.0,0.968,75.2,27.2,2730.0,63.4,10.7,3.66,45.0,2.16
12,74.5,2550.0,1.03,79.9,30.5,2800.0,66.6,10.6,4.25,46.0,2.07
13,74.5,2660.0,1.2,90.3,32.5,2860.0,70.7,10.7,3.73,46.9,1.98
14,74.6,2830.0,1.38,113.0,40.6,2770.0,67.0,10.7,4.29,47.9,1.9
15,74.7,3000.0,1.34,161.0,63.9,2790.0,55.0,10.9,4.54,48.9,1.82
16,74.9,3190.0,1.38,178.0,71.4,2870.0,58.6,10.8,5.16,49.9,1.75
17,75.2,3380.0,1.28,192.0,75.5,2860.0,67.2,11.4,5.31,5.8,1.7
18,75.4,3610.0,1.3,232.0,88.8,2860.0,75.5,11.6,5.58,51.7,1.67
19,75.6,3780.0,1.46,275.0,109.0,2950.0,102.0,12.0,5.61,52.6,1.65
20,75.9,3930.0,1.48,260.0,107.0,2990.0,117.0,12.2,5.79,53.5,1.65
21,76.3,4090.0,1.56,241.0,94.0,3080.0,113.0,12.5,5.28,54.3,1.65
22,73.9,3540.0,2.82,62.6,45.9,2810.0,78.6,10.7,0.25,44.4,2.51
23,74.1,3600.0,2.67,67.8,52.5,2890.0,77.4,10.9,0.23,45.3,2.44
24,74.4,3750.0,2.81,69.9,54.1,2930.0,80.5,11.1,0.36,46.1,2.4
25,74.5,3970.0,2.83,79.6,62.6,2970.0,82.8,11.5,0.34,47.0,2.41
26,75.1,4090.0,2.7,89.0,63.2,2990.0,84.3,11.7,0.45,47.9,2.44
27,75.4,4270.0,3.22,96.2,69.3,2960.0,75.5,12.0,0.5,48.9,2.5
28,75.6,4280.0,2.99,110.0,81.7,3050.0,77.9,12.3,0.36,49.8,2.58
29,75.9,4360.0,3.19,141.0,109.0,3040.0,86.7,12.3,0.44,5.8,2.66
30,76.1,4390.0,3.16,186.0,148.0,3050.0,78.5,12.6,0.46,51.8,2.75
31,76.3,4390.0,3.42,181.0,143.0,3110.0,85.3,13.1,0.5,52.8,2.83
32,76.5,4460.0,3.3,178.0,139.0,3140.0,85.6,13.6,0.45,53.9,2.89
33,53.4,1720.0,0.58,15.8,12.5,1790.0,26.5,4.6,1.85,15.4,6.64
34,53.6,1740.0,0.573,21.4,18.3,1830.0,29.4,5.1,2.58,15.8,6.6
35,54.5,1910.0,0.721,18.1,14.3,1920.0,36.3,5.5,2.82,16.3,6.57
36,55.1,1920.0,0.498,23.9,19.4,1980.0,41.5,5.9,3.49,16.8,6.54
37,55.7,2050.0,0.996,25.9,19.7,2030.0,39.3,6.4,3.53,17.2,6.5
38,56.5,2390.0,0.98,36.4,27.1,2080.0,37.1,6.8,5.04,17.7,6.47
39,57.0,2740.0,1.1,64.1,50.9,2120.0,38.3,7.2,5.84,18.2,6.42
40,57.8,3260.0,1.2,85.3,68.4,2170.0,39.5,7.7,6.35,18.8,6.37
41,58.6,3580.0,1.18,149.0,126.0,2250.0,44.1,8.1,7.07,19.3,6.31
42,59.3,3540.0,1.23,201.0,181.0,2300.0,40.2,8.5,7.01,19.8,6.24
43,60.1,3530.0,1.24,123.0,102.0,2350.0,38.9,9.0,7.8,2.4,6.16
44,74.7,12000.0,4.12,408.0,281.0,2150.0,86.6,0.0,7.27,38.2,2.32
45,75.1,11200.0,4.1,406.0,266.0,2090.0,86.7,0.0,7.51,38.9,2.31
46,75.3,11100.0,4.29,410.0,267.0,2070.0,86.4,0.0,7.21,39.5,2.29
47,75.5,11700.0,4.62,434.0,279.0,2070.0,83.5,0.0,7.16,4.1,2.27
48,75.7,12200.0,4.78,459.0,291.0,2110.0,93.1,0.0,7.28,4.8,2.25
49,75.9,12900.0,4.81,483.0,305.0,2330.0,79.7,0.0,8.15,41.4,2.22
50,76.0,14300.0,4.91,534.0,351.0,2330.0,85.0,14.7,8.93,42.0,2.2
51,76.4,15500.0,5.14,598.0,397.0,2410.0,87.3,14.5,8.64,42.6,2.18
52,76.6,15300.0,5.19,602.0,409.0,2380.0,89.2,14.4,8.27,43.2,2.16
53,76.9,13300.0,5.45,601.0,403.0,2320.0,87.6,14.2,7.82,43.8,2.15
54,76.8,12200.0,5.54,690.0,490.0,2320.0,87.6,14.1,7.84,44.4,2.13
55,74.2,8180.0,3.84,709.0,382.0,3260.0,131.0,15.0,7.68,54.0,2.56
56,74.4,7740.0,3.57,678.0,367.0,3210.0,131.0,15.6,7.76,54.6,2.54
57,74.5,6820.0,3.29,225.0,121.0,2980.0,128.0,16.3,7.81,55.1,2.52
58,74.6,7340.0,3.53,283.0,148.0,3010.0,128.0,16.4,7.62,55.7,2.5
59,74.9,7910.0,4.07,332.0,174.0,3030.0,131.0,16.3,7.63,56.3,2.47
60,75.2,8520.0,4.14,400.0,217.0,3110.0,136.0,16.3,7.53,56.9,2.45
61,75.3,9110.0,4.43,464.0,259.0,3110.0,133.0,16.1,7.75,57.5,2.43
62,75.3,9830.0,4.38,562.0,334.0,3150.0,134.0,16.3,8.16,58.0,2.41
63,75.5,10100.0,4.68,699.0,437.0,3160.0,133.0,16.3,8.41,58.6,2.4
64,75.7,9430.0,4.41,734.0,488.0,3130.0,132.0,16.5,8.33,59.2,2.38
65,75.8,10300.0,4.56,742.0,405.0,3160.0,131.0,16.8,8.15,59.8,2.37
66,71.8,1400.0,1.13,39.0,7.07,2240.0,67.0,11.2,2.9,47.1,1.3
67,72.1,1550.0,1.16,41.1,11.0,2240.0,70.9,11.1,2.86,47.4,1.2
68,72.5,1760.0,1.0,42.0,10.6,2260.0,77.0,10.8,2.86,47.8,1.2
69,72.5,2020.0,1.14,51.0,13.9,2430.0,87.6,10.8,3.03,48.1,1.4
70,72.7,2240.0,1.21,64.1,16.3,2550.0,85.1,10.9,3.81,48.4,1.4
71,72.5,2570.0,1.46,77.7,23.6,2670.0,94.1,10.9,4.25,48.8,1.4
72,72.5,2930.0,1.48,86.9,33.0,2760.0,92.8,11.2,4.01,49.2,1.3
73,72.9,3370.0,1.73,116.0,48.3,2760.0,94.0,11.7,3.99,49.7,1.4
74,72.8,3630.0,1.91,143.0,63.5,2870.0,98.9,12.3,3.96,5.1,1.4
75,73.0,3140.0,1.51,129.0,56.0,2820.0,103.0,11.9,3.96,5.7,1.6
76,73.3,3220.0,1.47,134.0,54.2,2770.0,112.0,12.3,4.23,51.2,1.55
77,79.7,44300.0,17.3,1710.0,1150.0,2990.0,123.0,20.4,10.17,58.2,1.76
78,80.0,44600.0,16.9,1630.0,1080.0,3050.0,125.0,20.5,9.53,59.0,1.76
79,80.2,45800.0,17.5,1850.0,1240.0,3080.0,125.0,20.1,9.84,59.6,1.78
80,80.5,46600.0,17.1,2320.0,1540.0,3100.0,128.0,20.6,9.97,6.3,1.79
81,80.8,47900.0,17.2,2870.0,1920.0,3050.0,128.0,20.7,9.84,6.9,1.82
82,81.1,48800.0,17.3,3140.0,2100.0,3100.0,128.0,20.3,10.3,61.5,1.86
83,81.3,49400.0,17.8,3330.0,2220.0,3160.0,127.0,20.3,10.31,62.0,1.89
84,81.4,51000.0,17.8,3960.0,2670.0,3200.0,130.0,19.0,10.56,62.5,1.92
85,81.6,51800.0,18.1,4230.0,2880.0,3200.0,129.0,19.1,10.76,62.9,1.94
86,81.8,51700.0,18.2,3950.0,2680.0,3210.0,126.0,19.1,10.62,63.4,1.94
87,82.0,51900.0,17.7,4780.0,3250.0,3210.0,126.0,19.5,10.52,63.9,1.93
88,78.1,42000.0,7.72,2370.0,1820.0,3730.0,127.0,15.4,13.2,5.1,1.37
89,78.5,42400.0,8.14,2390.0,1820.0,3730.0,125.0,15.5,12.4,5.6,1.33
90,78.7,42900.0,8.25,2580.0,1950.0,3650.0,123.0,16.1,12.5,51.2,1.39
91,78.9,43100.0,8.83,3200.0,2410.0,3610.0,127.0,14.7,12.2,51.7,1.38
92,79.2,44000.0,8.81,3680.0,2790.0,3610.0,130.0,14.7,12.1,52.2,1.42
93,79.5,44600.0,8.99,3830.0,2920.0,3640.0,136.0,14.9,12.4,52.7,1.41
94,79.8,46000.0,8.71,4000.0,3040.0,3720.0,134.0,15.0,12.4,53.2,1.41
95,80.0,47500.0,8.39,4600.0,3520.0,3740.0,129.0,15.2,12.5,53.7,1.38
96,80.2,48100.0,8.28,5150.0,3980.0,3720.0,134.0,15.1,12.0,54.2,1.41
97,80.3,46100.0,7.49,5040.0,3910.0,3720.0,128.0,15.3,11.3,54.7,1.39
98,80.5,46900.0,8.03,4960.0,3840.0,3720.0,132.0,15.4,12.1,55.2,1.44
99,66.6,1630.0,3.63,30.4,5.64,2280.0,29.9,10.1,0.65,42.1,2.03
100,67.2,1780.0,3.51,31.2,5.9,2370.0,35.0,10.4,0.51,42.6,1.96
101,67.5,1960.0,3.58,33.6,5.96,2460.0,43.2,10.6,0.55,43.1,1.91
