,country,year,income
0,Afghanistan,2000,
1,Afghanistan,2001,
2,Afghanistan,2002,365.0
3,Afghanistan,2003,377.0
4,Afghanistan,2004,364.0
5,Afghanistan,2005,389.0
6,Afghanistan,2006,398.0
7,Afghanistan,2007,440.0
8,Afghanistan,2008,445.0
9,Afghanistan,2009,525.0
10,Afghanistan,2010,553.0
11,Albania,2000,2340.0
12,Albania,2001,2550.0
13,Albania,2002,2660.0
14,Albania,2003,2830.0
15,Albania,2004,3000.0
16,Albania,2005,3190.0
17,Albania,2006,3380.0
18,Albania,2007,3610.0
19,Albania,2008,3780.0
20,Albania,2009,3930.0
21,Albania,2010,4090.0
22,Algeria,2000,3540.0
23,Algeria,2001,3600.0
24,Algeria,2002,3750.0
25,Algeria,2003,3970.0
26,Algeria,2004,4090.0
27,Algeria,2005,4270.0
28,Algeria,2006,4280.0
29,Algeria,2007,4360.0
30,Algeria,2008,4390.0
31,Algeria,2009,4390.0
32,Algeria,2010,4460.0
33,Andorra,2000,40800.0
34,Andorra,2001,41400.0
35,Andorra,2002,42400.0
36,Andorra,2003,45500.0
37,Andorra,2004,47000.0
38,Andorra,2005,48800.0
39,Andorra,2006,49700.0
40,Andorra,2007,48700.0
41,Andorra,2008,43900.0
42,Andorra,2009,42000.0
43,Andorra,2010,39700.0
44,Angola,2000,1720.0
45,Angola,2001,1740.0
46,Angola,2002,1910.0
47,Angola,2003,1920.0
48,Angola,2004,2050.0
49,Angola,2005,2390.0
50,Angola,2006,2740.0
51,Angola,2007,3260.0
52,Angola,2008,3580.0
53,Angola,2009,3540.0
54,Angola,2010,3530.0
55,Antigua and Barbuda,2000,12000.0
56,Antigua and Barbuda,2001,11200.0
57,Antigua and Barbuda,2002,11100.0
58,Antigua and Barbuda,2003,11700.0
59,Antigua and Barbuda,2004,12200.0
60,Antigua and Barbuda,2005,12900.0
61,Antigua and Barbuda,2006,14300.0
62,Antigua and Barbuda,2007,15500.0
63,Antigua and Barbuda,2008,15300.0
64,Antigua and Barbuda,2009,13300.0
65,Antigua and Barbuda,2010,12200.0
66,Argentina,2000,8180.0
67,Argentina,2001,7740.0
68,Argentina,2002,6820.0
