,country,year,kcal_day
0,Afghanistan,2000,1790.0
1,Afghanistan,2001,1740.0
2,Afghanistan,2002,1830.0
3,Afghanistan,2003,1890.0
4,Afghanistan,2004,1970.0
5,Afghanistan,2005,1950.0
6,Afghanistan,2006,1970.0
7,Afghanistan,2007,2050.0
8,Afghanistan,2008,2040.0
9,Afghanistan,2009,2080.0
10,Afghanistan,2010,2100.0
11,Albania,2000,2730.0
12,Albania,2001,2800.0
13,Albania,2002,2860.0
14,Albania,2003,2770.0
15,Albania,2004,2790.0
16,Albania,2005,2870.0
17,Albania,2006,2860.0
18,Albania,2007,2860.0
19,Albania,2008,2950.0
20,Albania,2009,2990.0
21,Albania,2010,3080.0
22,Algeria,2000,2810.0
23,Algeria,2001,2890.0
24,Algeria,2002,2930.0
25,Algeria,2003,2970.0
26,Algeria,2004,2990.0
27,Algeria,2005,2960.0
28,Algeria,2006,3050.0
29,Algeria,2007,3040.0
30,Algeria,2008,3050.0
31,Algeria,2009,3110.0
32,Algeria,2010,3140.0
33,Angola,2000,1790.0
34,Angola,2001,1830.0
35,Angola,2002,1920.0
36,Angola,2003,1980.0
37,Angola,2004,2030.0
38,Angola,2005,2080.0
39,Angola,2006,2120.0
40,Angola,2007,2170.0
41,Angola,2008,2250.0
42,Angola,2009,2300.0
43,Angola,2010,2350.0
44,Antigua and Barbuda,2000,2150.0
45,Antigua and Barbuda,2001,2090.0
46,Antigua and Barbuda,2002,2070.0
47,Antigua and Barbuda,2003,2070.0
48,Antigua and Barbuda,2004,2110.0
49,Antigua and Barbuda,2005,2330.0
50,Antigua and Barbuda,2006,2330.0
51,Antigua and Barbuda,2007,2410.0
52,Antigua and Barbuda,2008,2380.0
53,Antigua and Barbuda,2009,2320.0
54,Antigua and Barbuda,2010,2320.0
55,Argentina,2000,3260.0
56,Argentina,2001,3210.0
57,Argentina,2002,2980.0
58,Argentina,2003,3010.0
59,Argentina,2004,3030.0
60,Argentina,2005,3110.0
61,Argentina,2006,3110.0
62,Argentina,2007,3150.0
63,Argentina,2008,3160.0
64,Argentina,2009,3130.0
65,Argentina,2010,3160.0
66,Armenia,2000,2240.0
67,Armenia,2001,2240.0
68,Armenia,2002,2260.0
69,Armenia,2003,2430.0
70,Armenia,2004,2550.0
71,Armenia,2005,2670.0
72,Armenia,2006,2760.0
73,Armenia,2007,2760.0
74,Armenia,2008,2870.0
75,Armenia,2009,2820.0
76,Armenia,2010,2770.0
77,Australia,2000,2990.0
78,Australia,2001,3050.0
79,Australia,2002,3080.0
80,Australia,2003,3100.0
81,Australia,2004,3050.0
82,Australia,2005,3100.0
83,Australia,2006,3160.0
84,Australia,2007,3200.0
85,Australia,2008,3200.0
86,Australia,2009,3210.0
87,Australia,2010,3210.0
88,Austria,2000,3730.0
89,Austria,2001,3730.0
90,Austria,2002,3650.0
