,country,Year,Life expectancy ,Schooling,Alcohol, BMI 
15,Afghanistan,2000,54.8,5.5,0.01,12.2
14,Afghanistan,2001,55.3,5.9,0.01,12.6
13,Afghanistan,2002,56.2,6.2,0.01,13.0
12,Afghanistan,2003,56.7,6.5,0.01,13.4
11,Afghanistan,2004,57.0,6.8,0.02,13.8
10,Afghanistan,2005,57.3,7.9,0.02,14.2
9,Afghanistan,2006,57.3,8.1,0.03,14.7
8,Afghanistan,2007,57.5,8.4,0.02,15.2
7,Afghanistan,2008,58.1,8.7,0.03,15.7
6,Afghanistan,2009,58.6,8.9,0.01,16.2
5,Afghanistan,2010,58.8,9.2,0.01,16.7
31,Albania,2000,72.6,10.7,3.66,45.0
30,Albania,2001,73.6,10.6,4.25,46.0
29,Albania,2002,73.3,10.7,3.73,46.9
28,Albania,2003,72.8,10.7,4.29,47.9
27,Albania,2004,73.0,10.9,4.54,48.9
26,Albania,2005,73.5,10.8,5.16,49.9
25,Albania,2006,74.2,11.4,5.31,5.8
24,Albania,2007,75.9,11.6,5.58,51.7
23,Albania,2008,75.3,12.0,5.61,52.6
22,Albania,2009,76.1,12.2,5.79,53.5
21,Albania,2010,76.2,12.5,5.28,54.3
47,Algeria,2000,71.3,10.7,0.25,44.4
46,Algeria,2001,71.4,10.9,0.23,45.3
45,Algeria,2002,71.6,11.1,0.36,46.1
44,Algeria,2003,71.7,11.5,0.34,47.0
43,Algeria,2004,72.3,11.7,0.45,47.9
42,Algeria,2005,72.9,12.0,0.5,48.9
41,Algeria,2006,73.4,12.3,0.36,49.8
40,Algeria,2007,73.8,12.3,0.44,5.8
39,Algeria,2008,74.1,12.6,0.46,51.8
38,Algeria,2009,74.4,13.1,0.5,52.8
37,Algeria,2010,74.7,13.6,0.45,53.9
63,Angola,2000,45.3,4.6,1.85,15.4
62,Angola,2001,45.7,5.1,2.58,15.8
61,Angola,2002,46.5,5.5,2.82,16.3
60,Angola,2003,46.8,5.9,3.49,16.8
59,Angola,2004,47.1,6.4,3.53,17.2
58,Angola,2005,47.4,6.8,5.04,17.7
57,Angola,2006,47.7,7.2,5.84,18.2
56,Angola,2007,48.2,7.7,6.35,18.8
55,Angola,2008,48.7,8.1,7.07,19.3
54,Angola,2009,49.1,8.5,7.01,19.8
53,Angola,2010,49.6,9.0,7.8,2.4
79,Antigua and Barbuda,2000,73.6,0.0,7.27,38.2
78,Antigua and Barbuda,2001,73.8,0.0,7.51,38.9
77,Antigua and Barbuda,2002,74.0,0.0,7.21,39.5
76,Antigua and Barbuda,2003,74.2,0.0,7.16,4.1
